id,time,type,title,content,status
9,2014/9/1,work,智原科技,主要負責系統的實作及問題排除，並使用Struts、jQuery及SPRING等相關技術。,active
8,2010/6/1,work,蟲洞科技,"轉換為程式設計的第一份工作，小公司提供了豐富的學習經驗。
從開發、維護、客服、顧問及講師等各種不同角色都有了實作經驗。",active
7,2009/11/1,education,中壢資策會,6個月的密集Java程式設計課程，基礎的專案開發經驗，除了重拾課本的樂趣也帶給我工作的新契機。,active
6,2007/8/1,work,龍旺 / 誼源股份有限公司,"跨兩岸三地的工作模式帶給了我新的體驗。
為了加強所屬單位所欠缺印刷的相關專業，而我也希望磨練美術設計的敏銳度，因此帶給公司及個人雙贏的機會!",active
5,2003/8/1,work,炬曄 / 巨大科藝企業有限公司,"由單兵作戰轉換為團體合作，較之前一工作規模較大，多了與整個印刷生產流程各個部份整合的經驗。
這其中包含了升任主管後習得的管理經驗及解決各種非一般設計師或輸出人員會碰到的各種疑難雜症的經驗，使我獲益匪淺。",active
4,2001/5/1,work,承邑印刷製版,"退伍後的第一份工作，從中學會了彩盒設計的相關技術與色彩調整的相關知識。
這其中也學到如何與客戶溝通且保持EQ的技巧。",active
3,1999/9/6,work,中華民國陸軍,1833梯的新兵!!新訓期間正巧碰到九二一大震災，是所有台灣人心中的痛…..不過當時在台東受訓，比較早一個月入伍的甚至有到災區救災，可知災情的可怕….,active
2,1995/9/1,education,世新大學,平面傳播科技系印製組，帶給我工作經驗前10年所需要的技術及視野，大三至大四在學校的出版中心實習，直接獲得印前相關技術的實戰經驗。,active
1,1993/9/1,education,花蓮高中,號稱花蓮第一高中…..XD,active
